PacketCounter,Acc_X,Acc_Y,Acc_Z,
85,-9.515264511,-1.357436776,1.037452102, 
86,-9.39229393,-1.429234982,1.033370852, 
87,-9.138472557,-1.306214452,0.982603431, 
88,-9.184446335,-1.072401047,0.761722744, 
89,-9.499026299,-0.873930871,0.715389013, 
90,-9.590433121,-0.795504391,0.936178386, 
91,-9.454922676,-0.755088687,1.32378757, 
92,-9.217079163,-0.711274385,1.62642324, 
93,-9.046947479,-0.499890208,1.79616642, 
94,-9.026164055,-0.160847843,2.110927105, 
95,-9.151039124,0.07858634,2.966527939, 
96,-9.111748695,0.228338048,3.69084096, 
97,-8.826469421,0.613578975,4.165984154, 
98,-8.742866516,1.406816244,4.821878433, 
99,-9.101665497,2.331378937,5.717717648, 
100,-10.00885296,2.924241066,6.67016077, 
101,-11.27161884,2.984164238,7.494795322, 
102,-12.12207222,2.697124004,7.905621529, 
103,-12.15124798,2.448981762,7.965778351, 
104,-11.8398962,2.478872776,7.777820587, 
105,-11.97962475,2.894281626,7.637276649, 
106,-12.74009228,2.444658518,7.776683807, 
107,-13.61074162,1.989155412,7.234151363, 
108,-14.30986023,1.904089451,6.251630783, 
109,-14.99091434,1.640040755,5.326798916, 
110,-15.66629887,1.961890459,4.649232864, 
111,-16.24422073,2.987075329,4.106440067, 
112,-16.48121071,3.898440838,3.412699223, 
113,-16.68012619,4.246371746,2.813345432, 
114,-17.25206566,4.538367271,2.764909029, 
115,-17.7339077,4.679570675,2.568261623, 
116,-17.4090538,4.009967804,2.480795622, 
117,-16.62668419,3.473418951,2.308211803, 
118,-15.68228912,2.961129189,2.226223946, 
119,-14.15900993,2.704989195,2.319188118, 
120,-12.51551151,3.024226189,2.206589222, 
121,-10.86978054,3.430058002,2.100470781, 
122,-9.25741291,3.687531948,1.866616726, 
123,-7.816748619,3.584115028,1.844449639, 
124,-6.315975189,2.880537987,2.316669703, 
125,-5.038196564,2.469781876,2.670043468, 
126,-3.826206446,2.434433222,2.380149126, 
127,-2.766310692,1.84497726,2.666324854, 
128,-1.927027822,0.807476997,3.512421608, 
129,-1.373701453,0.456469208,4.270155907, 
130,-0.69169718,0.510859787,4.086885452, 
131,-0.214320317,0.778778851,4.574792862, 
132,0.340571463,1.812144041,4.793260098, 
133,0.535018623,2.388042688,5.260408878, 
134,0.352377385,2.970512629,6.108323574, 
135,0.11990194,4.663901806,6.429268837, 
136,0.28304565,5.997964382,6.276844025, 
137,0.572697878,6.953451157,6.012260437, 
138,1.129484057,6.999148369,5.44896841, 
139,1.522425175,6.547973633,5.168566704, 
140,1.740535855,6.468835831,4.712236404, 
